Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
5156	PDGFRA	3.75e-19	1.99e-06	positive	hsa-miR-34a
5156	PDGFRA	3.75e-19	0.00118	positive	hsa-miR-142-5p
5156	PDGFRA	3.75e-19	0.00198	positive	hsa-miR-140-5p
5156	PDGFRA	3.75e-19	0.0023	positive	hsa-miR-301a
677	ZFP36L1	4.63e-19	2.63e-19	negative	hsa-miR-182
677	ZFP36L1	4.63e-19	3.54e-09	negative	hsa-miR-96
677	ZFP36L1	4.63e-19	9.41e-19	positive	hsa-miR-27b
677	ZFP36L1	4.63e-19	7.83e-15	positive	hsa-miR-27a
677	ZFP36L1	4.63e-19	1.67e-11	positive	hsa-miR-29a
677	ZFP36L1	4.63e-19	2.5e-06	positive	hsa-miR-29b
83871	RAB34	9.43e-19	1.03e-16	negative	hsa-miR-96
83871	RAB34	9.43e-19	7.11e-12	negative	hsa-miR-130b
83871	RAB34	9.43e-19	8.49e-07	negative	hsa-miR-19a
83871	RAB34	9.43e-19	7.38e-06	negative	hsa-miR-148a
83871	RAB34	9.43e-19	2.97e-05	negative	hsa-miR-148b
83871	RAB34	9.43e-19	4.2e-05	negative	hsa-miR-19b
83871	RAB34	9.43e-19	0.000342	negative	hsa-miR-550
83871	RAB34	9.43e-19	1.95e-14	positive	hsa-miR-152
83871	RAB34	9.43e-19	6.23e-11	positive	hsa-miR-130a
83871	RAB34	9.43e-19	8.62e-07	positive	hsa-miR-214
7145	TNS1	1.46e-18	1.29e-28	negative	hsa-miR-182
7145	TNS1	1.46e-18	1.92e-25	negative	hsa-miR-93
7145	TNS1	1.46e-18	3.48e-06	negative	hsa-miR-17
7145	TNS1	1.46e-18	7.04e-06	negative	hsa-miR-106a
7145	TNS1	1.46e-18	1.68e-05	negative	hsa-miR-1237
7145	TNS1	1.46e-18	2.11e-05	negative	hsa-miR-20a
7145	TNS1	1.46e-18	2.13e-18	positive	hsa-miR-31
79658	ARHGAP10	1.97e-18	9.5e-07	negative	hsa-miR-769-5p
79658	ARHGAP10	1.97e-18	2.49e-17	positive	hsa-miR-204
4638	MYLK	3.52e-18	2.88e-14	negative	hsa-miR-18a
4638	MYLK	3.52e-18	6.62e-07	negative	hsa-miR-18b
4638	MYLK	3.52e-18	1.52e-20	positive	hsa-miR-1
4638	MYLK	3.52e-18	1.34e-06	positive	hsa-miR-365
4638	MYLK	3.52e-18	4.88e-05	positive	hsa-miR-495
4638	MYLK	3.52e-18	0.00113	positive	hsa-miR-374b
4638	MYLK	3.52e-18	0.00195	positive	hsa-miR-545
9445	ITM2B	3.76e-18	2.08e-15	positive	hsa-miR-143
9445	ITM2B	3.76e-18	2.66e-09	positive	hsa-miR-363
9445	ITM2B	3.76e-18	5.33e-07	positive	hsa-miR-200b
57616	TSHZ3	5.37e-18	9.93e-23	negative	hsa-miR-93
57616	TSHZ3	5.37e-18	1.62e-17	negative	hsa-miR-106b
57616	TSHZ3	5.37e-18	9.05e-11	negative	hsa-miR-141
57616	TSHZ3	5.37e-18	5.8e-09	negative	hsa-miR-548c-3p
57616	TSHZ3	5.37e-18	9.43e-07	negative	hsa-miR-19a
57616	TSHZ3	5.37e-18	1.88e-05	negative	hsa-miR-20a
57616	TSHZ3	5.37e-18	3.27e-05	negative	hsa-miR-17
57616	TSHZ3	5.37e-18	7.73e-05	negative	hsa-miR-330-3p
57616	TSHZ3	5.37e-18	0.000404	negative	hsa-miR-19b
57616	TSHZ3	5.37e-18	0.000538	negative	hsa-miR-106a
57616	TSHZ3	5.37e-18	0.00422	negative	hsa-miR-501-3p
57616	TSHZ3	5.37e-18	4.5e-15	positive	hsa-miR-205
57616	TSHZ3	5.37e-18	8.28e-13	positive	hsa-miR-455-5p
57616	TSHZ3	5.37e-18	2.27e-07	positive	hsa-miR-455-3p
57616	TSHZ3	5.37e-18	3.42e-07	positive	hsa-miR-505
122786	FRMD6	1.12e-17	2.67e-20	negative	hsa-miR-93
122786	FRMD6	1.12e-17	2.85e-17	negative	hsa-miR-130b
122786	FRMD6	1.12e-17	3.22e-13	negative	hsa-miR-183
122786	FRMD6	1.12e-17	2.49e-09	negative	hsa-miR-30d
122786	FRMD6	1.12e-17	5.36e-06	negative	hsa-miR-345
122786	FRMD6	1.12e-17	1.98e-05	negative	hsa-miR-106a
122786	FRMD6	1.12e-17	4.33e-05	negative	hsa-miR-17
122786	FRMD6	1.12e-17	0.00105	negative	hsa-miR-20a
122786	FRMD6	1.12e-17	0.00177	negative	hsa-miR-501-5p
122786	FRMD6	1.12e-17	1.01e-18	positive	hsa-miR-130a
122786	FRMD6	1.12e-17	2.49e-08	positive	hsa-miR-30c
122786	FRMD6	1.12e-17	0.00334	positive	hsa-miR-582-5p
5915	RARB	2.08e-17	0.000166	negative	hsa-miR-665
5915	RARB	2.08e-17	1.72e-18	positive	hsa-miR-133a
5915	RARB	2.08e-17	1.81e-16	positive	hsa-miR-133b
5915	RARB	2.08e-17	1.82e-14	positive	hsa-miR-1
5915	RARB	2.08e-17	4.17e-12	positive	hsa-miR-376c
5915	RARB	2.08e-17	3.92e-07	positive	hsa-miR-29a
5915	RARB	2.08e-17	5.21e-07	positive	hsa-miR-30c
5915	RARB	2.08e-17	0.00177	positive	hsa-miR-29b
11155	LDB3	2.57e-17	2.57e-17	negative	hsa-miR-96
2070	EYA4	2.87e-17	6.03e-19	positive	hsa-miR-145
2070	EYA4	2.87e-17	1.71e-10	positive	hsa-miR-27a
2070	EYA4	2.87e-17	2.57e-07	positive	hsa-miR-377
83716	CRISPLD2	3.04e-17	2.96e-17	positive	hsa-miR-145
5579	PRKCB	3.35e-17	7.39e-21	negative	hsa-miR-182
5579	PRKCB	3.35e-17	6.48e-18	negative	hsa-miR-183
5579	PRKCB	3.35e-17	6.99e-12	negative	hsa-miR-7
5579	PRKCB	3.35e-17	0.0012	negative	hsa-miR-203
89927	C16orf45	3.39e-17	0.00279	negative	hsa-miR-203
89927	C16orf45	3.39e-17	3.57e-16	positive	hsa-miR-221
11107	PRDM5	3.44e-17	4.28e-12	negative	hsa-miR-548c-3p
11107	PRDM5	3.44e-17	0.000162	negative	hsa-miR-125a-3p
11107	PRDM5	3.44e-17	6.91e-09	positive	hsa-miR-136
22862	FNDC3A	7.49e-17	5.49e-06	negative	hsa-miR-30d
22862	FNDC3A	7.49e-17	0.000217	negative	hsa-miR-330-3p
22862	FNDC3A	7.49e-17	0.00319	negative	hsa-miR-206
22862	FNDC3A	7.49e-17	0.00451	negative	hsa-miR-93
22862	FNDC3A	7.49e-17	0.00526	negative	hsa-miR-181b
22862	FNDC3A	7.49e-17	0.00568	negative	hsa-miR-34b
22862	FNDC3A	7.49e-17	2.76e-18	positive	hsa-miR-30c
22862	FNDC3A	7.49e-17	2.47e-14	positive	hsa-miR-1
22862	FNDC3A	7.49e-17	1.4e-10	positive	hsa-let-7c
22862	FNDC3A	7.49e-17	1.03e-09	positive	hsa-miR-30e
22862	FNDC3A	7.49e-17	5.1e-09	positive	hsa-let-7i
22862	FNDC3A	7.49e-17	6.94e-08	positive	hsa-miR-145
22862	FNDC3A	7.49e-17	3.75e-07	positive	hsa-miR-20b
22862	FNDC3A	7.49e-17	1.5e-06	positive	hsa-miR-30b
22862	FNDC3A	7.49e-17	9.6e-05	positive	hsa-miR-20a
22862	FNDC3A	7.49e-17	0.00061	positive	hsa-miR-142-3p
22862	FNDC3A	7.49e-17	0.00253	positive	hsa-let-7b
54510	PCDH18	9.52e-17	7.87e-14	negative	hsa-miR-33b
54510	PCDH18	9.52e-17	1.56e-13	negative	hsa-miR-182
54510	PCDH18	9.52e-17	4.46e-07	positive	hsa-miR-26a
54510	PCDH18	9.52e-17	0.0012	positive	hsa-miR-26b
4026	LPP	1.38e-16	1.29e-10	negative	hsa-miR-548c-3p
4026	LPP	1.38e-16	6.91e-05	negative	hsa-miR-498
4026	LPP	1.38e-16	0.00153	negative	hsa-miR-19a
4026	LPP	1.38e-16	2.2e-19	positive	hsa-miR-23b
4026	LPP	1.38e-16	3.04e-06	positive	hsa-miR-22
4026	LPP	1.38e-16	0.004	positive	hsa-miR-181d
7227	TRPS1	1.73e-16	7.09e-12	negative	hsa-miR-93
7227	TRPS1	1.73e-16	1.23e-10	negative	hsa-miR-548c-3p
7227	TRPS1	1.73e-16	7.16e-08	negative	hsa-miR-106b
7227	TRPS1	1.73e-16	6.76e-05	negative	hsa-miR-33a
7227	TRPS1	1.73e-16	0.000309	negative	hsa-miR-148b
7227	TRPS1	1.73e-16	0.000681	negative	hsa-miR-30d
7227	TRPS1	1.73e-16	0.00112	negative	hsa-miR-19a
7227	TRPS1	1.73e-16	1.47e-17	positive	hsa-miR-221
7227	TRPS1	1.73e-16	8.7e-12	positive	hsa-miR-130a
7227	TRPS1	1.73e-16	2.59e-11	positive	hsa-miR-30c
7227	TRPS1	1.73e-16	3.95e-11	positive	hsa-miR-222
7227	TRPS1	1.73e-16	1.2e-08	positive	hsa-miR-125b
7227	TRPS1	1.73e-16	1.96e-08	positive	hsa-miR-505
7227	TRPS1	1.73e-16	3.4e-06	positive	hsa-miR-125a-5p
7227	TRPS1	1.73e-16	0.000528	positive	hsa-miR-30e
9532	BAG2	2.01e-16	1.58e-20	positive	hsa-miR-27b
9532	BAG2	2.01e-16	2.43e-10	positive	hsa-miR-27a
9532	BAG2	2.01e-16	9.83e-05	positive	hsa-miR-140-5p
51232	CRIM1	4.78e-16	3.16e-16	negative	hsa-miR-93
51232	CRIM1	4.78e-16	4.42e-09	negative	hsa-miR-548c-3p
51232	CRIM1	4.78e-16	2.18e-06	negative	hsa-miR-665
51232	CRIM1	4.78e-16	6.23e-06	negative	hsa-miR-106a
51232	CRIM1	4.78e-16	6.3e-06	negative	hsa-miR-659
51232	CRIM1	4.78e-16	0.000126	negative	hsa-miR-17
51232	CRIM1	4.78e-16	0.00024	negative	hsa-miR-18b
51232	CRIM1	4.78e-16	3.07e-08	positive	hsa-miR-28-5p
51232	CRIM1	4.78e-16	6.14e-06	positive	hsa-miR-223
51232	CRIM1	4.78e-16	0.000795	positive	hsa-miR-424
894	CCND2	5.58e-16	9.93e-25	negative	hsa-miR-93
894	CCND2	5.58e-16	2.01e-07	negative	hsa-miR-19a
894	CCND2	5.58e-16	1.12e-05	negative	hsa-miR-15b
894	CCND2	5.58e-16	1.4e-05	negative	hsa-miR-20a
894	CCND2	5.58e-16	3.52e-05	negative	hsa-miR-19b
894	CCND2	5.58e-16	3.81e-22	positive	hsa-miR-1
894	CCND2	5.58e-16	0.000735	positive	hsa-miR-195
56034	PDGFC	6.33e-16	2.81e-13	negative	hsa-miR-548c-3p
56034	PDGFC	6.33e-16	0.00346	negative	hsa-miR-768-3p
56034	PDGFC	6.33e-16	4.07e-12	positive	hsa-miR-29a
56034	PDGFC	6.33e-16	3.48e-06	positive	hsa-miR-29b
2260	FGFR1	9.48e-16	3.65e-05	negative	hsa-miR-296-5p
2260	FGFR1	9.48e-16	0.000112	negative	hsa-miR-15b
2260	FGFR1	9.48e-16	1.79e-15	positive	hsa-miR-133b
2260	FGFR1	9.48e-16	5.33e-08	positive	hsa-miR-214
4605	MYBL2	1.12e-15	2.4e-14	negative	hsa-miR-143
4605	MYBL2	1.12e-15	1.43e-12	negative	hsa-miR-29a
4605	MYBL2	1.12e-15	1.44e-10	negative	hsa-miR-30c
4605	MYBL2	1.12e-15	4.25e-10	negative	hsa-miR-29c
4605	MYBL2	1.12e-15	4.13e-08	negative	hsa-miR-30e
4605	MYBL2	1.12e-15	7.62e-08	negative	hsa-miR-29b
4605	MYBL2	1.12e-15	3.64e-05	positive	hsa-miR-423-5p
4605	MYBL2	1.12e-15	0.00061	positive	hsa-miR-30d
2182	ACSL4	1.65e-15	6.86e-16	negative	hsa-miR-93
2182	ACSL4	1.65e-15	1.09e-11	negative	hsa-miR-106b
2182	ACSL4	1.65e-15	9.58e-10	negative	hsa-miR-130b
2182	ACSL4	1.65e-15	0.00144	negative	hsa-miR-20a
2182	ACSL4	1.65e-15	5.46e-12	positive	hsa-miR-130a
2182	ACSL4	1.65e-15	3.74e-11	positive	hsa-miR-145
2182	ACSL4	1.65e-15	2.8e-06	positive	hsa-miR-34a
2182	ACSL4	1.65e-15	0.00136	positive	hsa-miR-142-3p
2182	ACSL4	1.65e-15	0.00141	positive	hsa-miR-301a
1104	RCC1	1.71e-15	2.85e-12	negative	hsa-miR-218
1104	RCC1	1.71e-15	7.24e-11	positive	hsa-miR-548c-3p
2045	EPHA7	2.63e-15	0.00019	negative	hsa-miR-196a
2045	EPHA7	2.63e-15	0.0044	negative	hsa-miR-144
2045	EPHA7	2.63e-15	1.57e-14	positive	hsa-miR-133b
2045	EPHA7	2.63e-15	5.33e-14	positive	hsa-miR-133a
143279	HECTD2	4.24e-15	1.71e-08	negative	hsa-miR-183
143279	HECTD2	4.24e-15	3.9e-18	positive	hsa-miR-221
143279	HECTD2	4.24e-15	3.39e-11	positive	hsa-miR-222
1073	CFL2	4.89e-15	5.36e-13	negative	hsa-miR-93
1073	CFL2	4.89e-15	1.33e-09	negative	hsa-miR-106b
1073	CFL2	4.89e-15	2.6e-05	negative	hsa-miR-30d
1073	CFL2	4.89e-15	0.00105	negative	hsa-miR-940
1073	CFL2	4.89e-15	4.15e-21	positive	hsa-miR-23b
1073	CFL2	4.89e-15	1.22e-14	positive	hsa-miR-145
1073	CFL2	4.89e-15	7.4e-09	positive	hsa-miR-23a
1073	CFL2	4.89e-15	2.14e-07	positive	hsa-miR-199b-3p
1073	CFL2	4.89e-15	0.00341	positive	hsa-miR-30e
9315	NREP	4.98e-15	6.34e-11	negative	hsa-miR-548c-3p
9315	NREP	4.98e-15	3.1e-06	negative	hsa-miR-1225-5p
9315	NREP	4.98e-15	9.8e-06	negative	hsa-miR-200c
9315	NREP	4.98e-15	0.00242	negative	hsa-miR-7
9315	NREP	4.98e-15	5.39e-19	positive	hsa-miR-27b
9315	NREP	4.98e-15	9.43e-15	positive	hsa-miR-24
9315	NREP	4.98e-15	1.2e-06	positive	hsa-miR-29a
9315	NREP	4.98e-15	1.48e-05	positive	hsa-miR-132
9315	NREP	4.98e-15	2.1e-05	positive	hsa-miR-582-5p
9315	NREP	4.98e-15	6.31e-05	positive	hsa-miR-29b
166336	PRICKLE2	5.57e-15	7.82e-11	negative	hsa-miR-33b
166336	PRICKLE2	5.57e-15	2.48e-09	negative	hsa-miR-548c-3p
166336	PRICKLE2	5.57e-15	2.5e-07	negative	hsa-miR-19a
166336	PRICKLE2	5.57e-15	1.17e-06	negative	hsa-miR-148b
166336	PRICKLE2	5.57e-15	7.92e-06	negative	hsa-miR-19b
166336	PRICKLE2	5.57e-15	4.07e-12	positive	hsa-miR-214
166336	PRICKLE2	5.57e-15	6.25e-08	positive	hsa-miR-29a
23213	SULF1	5.88e-15	3.68e-10	negative	hsa-miR-200c
23213	SULF1	5.88e-15	6.18e-06	negative	hsa-miR-130b
23213	SULF1	5.88e-15	9.01e-05	negative	hsa-miR-19b
23213	SULF1	5.88e-15	1.65e-13	positive	hsa-miR-199a-5p
23213	SULF1	5.88e-15	2.89e-12	positive	hsa-miR-152
23213	SULF1	5.88e-15	5e-11	positive	hsa-miR-1
23213	SULF1	5.88e-15	8.3e-10	positive	hsa-miR-199b-5p
23213	SULF1	5.88e-15	3.02e-06	positive	hsa-miR-26a
23213	SULF1	5.88e-15	6.25e-06	positive	hsa-miR-301a
79745	CLIP4	7.08e-15	1.61e-14	negative	hsa-miR-93
79745	CLIP4	7.08e-15	1.02e-11	negative	hsa-miR-106b
79745	CLIP4	7.08e-15	0.000538	negative	hsa-miR-106a
79745	CLIP4	7.08e-15	0.000939	negative	hsa-miR-17
79745	CLIP4	7.08e-15	9.14e-17	positive	hsa-miR-204
79745	CLIP4	7.08e-15	0.000203	positive	hsa-miR-374b
79745	CLIP4	7.08e-15	0.00432	positive	hsa-miR-374a
114907	FBXO32	7.8e-15	1.35e-18	positive	hsa-miR-23b
114907	FBXO32	7.8e-15	7.22e-13	positive	hsa-miR-23a
57419	SLC24A3	8.17e-15	2.14e-22	negative	hsa-miR-25
57419	SLC24A3	8.17e-15	1.14e-16	negative	hsa-miR-32
57419	SLC24A3	8.17e-15	1.35e-05	negative	hsa-miR-92a
57419	SLC24A3	8.17e-15	0.000959	negative	hsa-miR-575
57419	SLC24A3	8.17e-15	4.68e-07	positive	hsa-miR-199a-5p
57419	SLC24A3	8.17e-15	0.0022	positive	hsa-miR-92b
10161	LPAR6	1.21e-14	6.96e-15	positive	hsa-miR-27b
10161	LPAR6	1.21e-14	5.03e-08	positive	hsa-miR-27a
10161	LPAR6	1.21e-14	0.00622	positive	hsa-miR-155
2192	FBLN1	1.43e-14	1.43e-14	positive	hsa-miR-24
84898	PLXDC2	2.72e-14	0.000176	negative	hsa-miR-188-5p
84898	PLXDC2	2.72e-14	1.9e-14	positive	hsa-miR-204
26030	PLEKHG3	4.01e-14	5.31e-13	negative	hsa-miR-32
26030	PLEKHG3	4.01e-14	4.27e-10	negative	hsa-miR-182
26030	PLEKHG3	4.01e-14	1.19e-06	negative	hsa-miR-363
26030	PLEKHG3	4.01e-14	0.000836	negative	hsa-miR-203
26030	PLEKHG3	4.01e-14	0.00325	negative	hsa-miR-140-5p
26030	PLEKHG3	4.01e-14	4.7e-08	positive	hsa-miR-92b
6840	SVIL	4.09e-14	4.09e-14	positive	hsa-miR-452
7168	TPM1	5.7e-14	3.41e-14	negative	hsa-miR-183
7168	TPM1	5.7e-14	8.29e-09	negative	hsa-miR-96
7168	TPM1	5.7e-14	8.63e-12	positive	hsa-miR-29a
7168	TPM1	5.7e-14	2.17e-07	positive	hsa-miR-29b
7168	TPM1	5.7e-14	0.00149	positive	hsa-miR-29c
10516	FBLN5	6.23e-14	8.58e-06	negative	hsa-miR-769-5p
10516	FBLN5	6.23e-14	8.6e-13	positive	hsa-miR-27b
4781	NFIB	7.54e-14	3.2e-09	negative	hsa-miR-1237
4781	NFIB	7.54e-14	2.92e-07	negative	hsa-miR-491-5p
4781	NFIB	7.54e-14	4.19e-05	negative	hsa-miR-92b
4781	NFIB	7.54e-14	8.88e-05	negative	hsa-miR-1224-5p
4781	NFIB	7.54e-14	0.000707	negative	hsa-miR-765
4781	NFIB	7.54e-14	0.00113	negative	hsa-miR-512-3p
4781	NFIB	7.54e-14	0.00151	negative	hsa-miR-130b
4781	NFIB	7.54e-14	8.85e-14	positive	hsa-miR-582-5p
4781	NFIB	7.54e-14	9.42e-14	positive	hsa-miR-363
4781	NFIB	7.54e-14	1.44e-12	positive	hsa-miR-374b
4781	NFIB	7.54e-14	2.23e-12	positive	hsa-miR-374a
4781	NFIB	7.54e-14	4.8e-10	positive	hsa-miR-30e
4781	NFIB	7.54e-14	3.71e-09	positive	hsa-miR-27b
4781	NFIB	7.54e-14	5.78e-08	positive	hsa-miR-590-5p
4781	NFIB	7.54e-14	1.28e-07	positive	hsa-miR-125b
4781	NFIB	7.54e-14	6.74e-07	positive	hsa-miR-132
4781	NFIB	7.54e-14	7.36e-06	positive	hsa-miR-455-3p
4781	NFIB	7.54e-14	1.64e-05	positive	hsa-miR-19b
4781	NFIB	7.54e-14	2.11e-05	positive	hsa-miR-29a
4781	NFIB	7.54e-14	7.46e-05	positive	hsa-miR-429
4781	NFIB	7.54e-14	0.00035	positive	hsa-miR-495
4781	NFIB	7.54e-14	0.000522	positive	hsa-miR-19a
4781	NFIB	7.54e-14	0.000801	positive	hsa-miR-32
2771	GNAI2	1.33e-13	0.003	negative	hsa-miR-30b
2771	GNAI2	1.33e-13	6.4e-14	positive	hsa-miR-222
2771	GNAI2	1.33e-13	1.68e-11	positive	hsa-miR-221
2771	GNAI2	1.33e-13	0.000553	positive	hsa-miR-218
2771	GNAI2	1.33e-13	0.000631	positive	hsa-miR-30c
2771	GNAI2	1.33e-13	0.000825	positive	hsa-miR-30e
90627	STARD13	1.41e-13	3.75e-14	negative	hsa-miR-130b
90627	STARD13	1.41e-13	1.87e-14	positive	hsa-miR-130a
90627	STARD13	1.41e-13	5.25e-08	positive	hsa-miR-31
