microRNA	P-value (global)	P-value (local)	Association	Target (Gene Symbol)	Target (Entrez)
hsa-miR-374a	1.37e-11	1.02e-05	positive	KTN1	3895
hsa-miR-374a	1.37e-11	1.06e-05	positive	NCK1	4690
hsa-miR-374a	1.37e-11	2.41e-05	positive	RSF1	51773
hsa-miR-374a	1.37e-11	4.18e-05	positive	PHF21A	51317
hsa-miR-374a	1.37e-11	9.25e-05	positive	GTF2A2	2958
hsa-miR-374a	1.37e-11	0.000139	positive	TCF4	6925
hsa-miR-374a	1.37e-11	0.000855	positive	NCOA6	23054
hsa-miR-374a	1.37e-11	0.00108	positive	RNF214	257160
hsa-miR-374a	1.37e-11	0.00346	positive	TOP1	7150
hsa-miR-374a	1.37e-11	0.00565	positive	PNRC1	10957
hsa-miR-141	1.58e-11	2.03e-13	negative	ZEB2	9839
hsa-miR-141	1.58e-11	2.78e-13	negative	DUSP3	1845
hsa-miR-141	1.58e-11	2.7e-07	negative	ST3GAL5	8869
hsa-miR-141	1.58e-11	3.42e-06	negative	TTBK2	146057
hsa-miR-141	1.58e-11	1.57e-05	negative	CHD9	80205
hsa-miR-141	1.58e-11	7.51e-05	negative	MPPED2	744
hsa-miR-141	1.58e-11	0.000157	negative	APBB2	323
hsa-miR-141	1.58e-11	0.000518	negative	SUPT6H	6830
hsa-miR-141	1.58e-11	0.000997	negative	MIER1	57708
hsa-miR-141	1.58e-11	0.00384	negative	RBM24	221662
hsa-miR-141	1.58e-11	3.01e-13	positive	FOXA1	3169
hsa-miR-141	1.58e-11	2.32e-10	positive	ADRB1	153
hsa-miR-141	1.58e-11	2.65e-08	positive	AGFG2	3268
hsa-miR-141	1.58e-11	1.58e-07	positive	TMED9	54732
hsa-miR-141	1.58e-11	3.17e-07	positive	ATP8A2	51761
hsa-miR-141	1.58e-11	9.49e-06	positive	EPN1	29924
hsa-miR-141	1.58e-11	0.000207	positive	ELAVL2	1993
hsa-miR-141	1.58e-11	0.000895	positive	MNX1	3110
hsa-miR-141	1.58e-11	0.00143	positive	SLC39A9	55334
hsa-miR-141	1.58e-11	0.00196	positive	FOXJ1	2302
hsa-miR-99b	5.22e-11	1.15e-11	positive	ST5	6764
hsa-miR-218	5.66e-11	1.8e-05	negative	CTNND2	1501
hsa-miR-218	5.66e-11	2.82e-05	negative	SHMT1	6470
hsa-miR-218	5.66e-11	0.000125	negative	RGS20	8601
hsa-miR-218	5.66e-11	0.000544	negative	TAC1	6863
hsa-miR-218	5.66e-11	0.00102	negative	CCDC89	220388
hsa-miR-218	5.66e-11	0.00159	negative	CCDC24	149473
hsa-miR-218	5.66e-11	0.00358	negative	HS6ST3	266722
hsa-miR-218	5.66e-11	0.00397	negative	GRIK3	2899
hsa-miR-218	5.66e-11	0.00424	negative	LRRC7	57554
hsa-miR-218	5.66e-11	5.62e-16	positive	MBNL2	10150
hsa-miR-218	5.66e-11	4.35e-08	positive	STAM2	10254
hsa-miR-218	5.66e-11	1.23e-06	positive	PUM2	23369
hsa-miR-218	5.66e-11	1.36e-06	positive	UBR3	130507
hsa-miR-218	5.66e-11	4.56e-05	positive	APH1B	83464
hsa-miR-218	5.66e-11	0.000553	positive	GNAI2	2771
hsa-miR-218	5.66e-11	0.000741	positive	ZFP91	80829
hsa-miR-218	5.66e-11	0.000748	positive	SCAF11	9169
hsa-miR-221	6.07e-11	2.34e-11	negative	CCDC64	92558
hsa-miR-221	6.07e-11	1.25e-05	negative	WSB2	55884
hsa-miR-221	6.07e-11	0.000239	negative	BMF	90427
hsa-miR-221	6.07e-11	0.000392	negative	DNAJC14	85406
hsa-miR-221	6.07e-11	3.9e-18	positive	HECTD2	143279
hsa-miR-221	6.07e-11	1.68e-11	positive	GNAI2	2771
hsa-miR-221	6.07e-11	4.1e-08	positive	FOS	2353
hsa-miR-139-5p	7.77e-11	4.72e-16	positive	PCDH10	57575
hsa-miR-139-5p	7.77e-11	8.5e-15	positive	LRCH2	57631
hsa-miR-139-5p	7.77e-11	1.38e-09	positive	ANK2	287
hsa-miR-139-5p	7.77e-11	1.89e-05	positive	NRK	203447
hsa-miR-139-5p	7.77e-11	3.41e-05	positive	DTX3	196403
hsa-miR-139-5p	7.77e-11	0.000163	positive	FOS	2353
hsa-miR-139-5p	7.77e-11	0.000227	positive	NOTCH1	4851
hsa-miR-139-5p	7.77e-11	0.000584	positive	PDE4A	5141
hsa-miR-139-5p	7.77e-11	0.000723	positive	BTG3	10950
hsa-miR-139-5p	7.77e-11	0.00147	positive	AKIRIN2	55122
hsa-miR-139-5p	7.77e-11	0.00198	positive	SCAPER	49855
hsa-miR-130a	8.57e-11	6.72e-10	negative	LRP8	7804
hsa-miR-130a	8.57e-11	7.25e-06	negative	SPHK2	56848
hsa-miR-130a	8.57e-11	2.99e-05	negative	SLC12A5	57468
hsa-miR-130a	8.57e-11	8.15e-05	negative	CHST1	8534
hsa-miR-130a	8.57e-11	0.000368	negative	LRP2	4036
hsa-miR-130a	8.57e-11	0.00388	negative	NHLH2	4808
hsa-miR-130a	8.57e-11	1.01e-18	positive	FRMD6	122786
hsa-miR-130a	8.57e-11	1.87e-14	positive	STARD13	90627
hsa-miR-130a	8.57e-11	6.23e-11	positive	RAB34	83871
hsa-miR-130a	8.57e-11	1.43e-08	positive	ACVR1	90
hsa-miR-130a	8.57e-11	3.43e-07	positive	SESTD1	91404
hsa-miR-130a	8.57e-11	9.48e-07	positive	PFKFB3	5209
hsa-miR-130a	8.57e-11	1.2e-05	positive	MET	4233
hsa-miR-130a	8.57e-11	1.32e-05	positive	MIER1	57708
hsa-miR-130a	8.57e-11	1.98e-05	positive	KLHL20	27252
hsa-miR-130a	8.57e-11	0.000124	positive	UXS1	80146
hsa-miR-130a	8.57e-11	0.000231	positive	PHF3	23469
hsa-miR-130a	8.57e-11	0.00423	positive	COX7A2L	9167
hsa-miR-29a	1.27e-10	4.46e-05	negative	COL11A1	1301
hsa-miR-29a	1.27e-10	4.47e-05	negative	MLIP	90523
hsa-miR-29a	1.27e-10	0.000758	negative	STX1A	6804
hsa-miR-29a	1.27e-10	0.00144	negative	XKR7	343702
hsa-miR-29a	1.27e-10	0.00161	negative	SUV420H2	84787
hsa-miR-29a	1.27e-10	0.00216	negative	TBX21	30009
hsa-miR-29a	1.27e-10	8.63e-12	positive	TPM1	7168
hsa-miR-29a	1.27e-10	5.44e-10	positive	NFIA	4774
hsa-miR-29a	1.27e-10	1.99e-06	positive	FOS	2353
hsa-miR-29a	1.27e-10	5.66e-06	positive	COL6A3	1293
hsa-miR-29a	1.27e-10	1.33e-05	positive	SESTD1	91404
hsa-miR-29a	1.27e-10	1.73e-05	positive	FBN1	2200
hsa-miR-29a	1.27e-10	3.36e-05	positive	AMOT	154796
hsa-miR-29a	1.27e-10	3.89e-05	positive	COL4A5	1287
hsa-miR-29a	1.27e-10	4.39e-05	positive	GAB1	2549
hsa-miR-29a	1.27e-10	0.000154	positive	CALU	813
hsa-miR-29a	1.27e-10	0.000311	positive	HBP1	26959
hsa-miR-29a	1.27e-10	0.0017	positive	KCTD1	284252
hsa-miR-455-3p	1.29e-10	1.08e-08	negative	HOXC4	3221
hsa-miR-455-3p	1.29e-10	1.06e-06	negative	ZNF238	10472
hsa-miR-455-3p	1.29e-10	7.43e-06	negative	LHX2	9355
hsa-miR-455-3p	1.29e-10	9.24e-05	negative	PAX6	5080
hsa-miR-455-3p	1.29e-10	0.0011	negative	MEPCE	56257
hsa-miR-455-3p	1.29e-10	1.47e-11	positive	PPP2CB	5516
hsa-miR-455-3p	1.29e-10	5.27e-10	positive	PIK3R1	5295
hsa-miR-455-3p	1.29e-10	0.000207	positive	PPP2R2A	5520
hsa-miR-455-3p	1.29e-10	0.000797	positive	SMAD2	4087
hsa-miR-152	1.83e-10	3.55e-08	negative	RNF44	22838
hsa-miR-152	1.83e-10	1.52e-06	negative	C5orf30	90355
hsa-miR-152	1.83e-10	0.000116	negative	DYRK1B	9149
hsa-miR-152	1.83e-10	0.000135	negative	DNMT1	1786
hsa-miR-152	1.83e-10	0.000244	negative	ATG4D	84971
hsa-miR-152	1.83e-10	0.000357	negative	UCP3	7352
hsa-miR-152	1.83e-10	0.000795	negative	ST18	9705
hsa-miR-152	1.83e-10	1.95e-14	positive	RAB34	83871
hsa-miR-152	1.83e-10	6.17e-14	positive	NPTN	27020
hsa-miR-152	1.83e-10	3.37e-11	positive	EIF4E3	317649
hsa-miR-152	1.83e-10	3.93e-11	positive	FAM184A	79632
hsa-miR-152	1.83e-10	1.22e-08	positive	ARHGEF17	9828
hsa-miR-152	1.83e-10	1.6e-05	positive	MAP3K4	4216
hsa-miR-152	1.83e-10	3.13e-05	positive	MIER1	57708
hsa-miR-152	1.83e-10	9.08e-05	positive	TMSB4X	7114
hsa-miR-152	1.83e-10	0.000113	positive	RBM24	221662
hsa-miR-152	1.83e-10	0.000202	positive	GADD45A	1647
hsa-miR-152	1.83e-10	0.000757	positive	KIAA1324L	222223
hsa-miR-152	1.83e-10	0.00315	positive	ITSN2	50618
hsa-miR-152	1.83e-10	0.00342	positive	CHMP4B	128866
hsa-miR-100	2.42e-10	7.21e-06	negative	INSM1	3642
hsa-miR-100	2.42e-10	0.00189	negative	HS3ST2	9956
hsa-miR-100	2.42e-10	0.00682	negative	KDM6B	23135
hsa-miR-100	2.42e-10	3.18e-07	positive	ST5	6764
hsa-miR-100	2.42e-10	4.31e-07	positive	MTMR3	8897
hsa-miR-100	2.42e-10	1.55e-06	positive	SMARCA5	8467
hsa-miR-195	2.86e-10	1.7e-08	negative	CCNE1	898
hsa-miR-195	2.86e-10	1.93e-07	negative	OTX1	5013
hsa-miR-195	2.86e-10	4.29e-07	negative	WNT3A	89780
hsa-miR-195	2.86e-10	1.72e-06	negative	G0S2	50486
hsa-miR-195	2.86e-10	5.54e-06	negative	HOXC11	3227
hsa-miR-195	2.86e-10	1e-05	negative	TMEM74B	55321
hsa-miR-195	2.86e-10	1.32e-05	negative	CBFA2T3	863
hsa-miR-195	2.86e-10	0.000122	negative	CCNJL	79616
hsa-miR-195	2.86e-10	0.000163	negative	C17orf59	54785
hsa-miR-195	2.86e-10	0.000169	negative	SYT3	84258
hsa-miR-195	2.86e-10	0.00087	negative	SNCG	6623
hsa-miR-195	2.86e-10	2.88e-09	positive	COPS2	9318
hsa-miR-195	2.86e-10	4.51e-09	positive	CCNT2	905
hsa-miR-195	2.86e-10	1.91e-08	positive	PPAP2A	8611
hsa-miR-195	2.86e-10	4.85e-08	positive	STXBP3	6814
hsa-miR-195	2.86e-10	9.3e-08	positive	SON	6651
hsa-miR-195	2.86e-10	1e-07	positive	WAPAL	23063
hsa-miR-195	2.86e-10	2.31e-07	positive	NFATC3	4775
hsa-miR-195	2.86e-10	3.94e-07	positive	YWHAQ	10971
hsa-miR-195	2.86e-10	4.02e-07	positive	PSMD7	5713
hsa-miR-195	2.86e-10	6.71e-07	positive	FERMT2	10979
hsa-miR-195	2.86e-10	1.61e-06	positive	PHIP	55023
hsa-miR-195	2.86e-10	3.75e-05	positive	LPHN2	23266
hsa-miR-195	2.86e-10	6.8e-05	positive	PCMT1	5110
hsa-miR-195	2.86e-10	0.000372	positive	WEE1	7465
hsa-miR-195	2.86e-10	0.000437	positive	C2orf42	54980
hsa-miR-195	2.86e-10	0.00177	positive	RBM6	10180
hsa-miR-125b	4.03e-10	5.07e-08	negative	SLC26A6	65010
hsa-miR-125b	4.03e-10	9.46e-08	negative	MYT1	4661
hsa-miR-125b	4.03e-10	9.81e-08	negative	ESRRA	2101
hsa-miR-125b	4.03e-10	6.56e-07	negative	TMEM86A	144110
hsa-miR-125b	4.03e-10	8.15e-06	negative	BAK1	578
hsa-miR-125b	4.03e-10	3.67e-05	negative	SUV420H2	84787
hsa-miR-125b	4.03e-10	3.89e-05	negative	MAP3K11	4296
hsa-miR-125b	4.03e-10	4.32e-05	negative	DUS1L	64118
hsa-miR-125b	4.03e-10	0.000722	negative	SRRM3	222183
hsa-miR-125b	4.03e-10	0.00304	negative	PHC2	1912
hsa-miR-125b	4.03e-10	1.24e-07	positive	OSBPL9	114883
hsa-miR-125b	4.03e-10	7.34e-07	positive	SERTAD3	29946
hsa-miR-125b	4.03e-10	7.62e-06	positive	RUFY3	22902
hsa-miR-125b	4.03e-10	0.000178	positive	TBC1D1	23216
hsa-miR-125b	4.03e-10	0.00249	positive	DDX42	11325
hsa-miR-23a	5.18e-10	1.96e-09	negative	CPSF4	10898
hsa-miR-23a	5.18e-10	8.51e-06	negative	ZNF839	55778
hsa-miR-23a	5.18e-10	0.000353	negative	NTS	4922
hsa-miR-23a	5.18e-10	0.00038	negative	HOOK2	29911
hsa-miR-23a	5.18e-10	0.000906	negative	IPPK	64768
hsa-miR-23a	5.18e-10	7.22e-13	positive	FBXO32	114907
hsa-miR-23a	5.18e-10	7.98e-09	positive	HOXD10	3236
hsa-miR-23a	5.18e-10	1.29e-08	positive	CCDC82	79780
hsa-miR-23a	5.18e-10	2.46e-07	positive	PLAGL1	5325
hsa-miR-23a	5.18e-10	8.99e-06	positive	GPRC5B	51704
hsa-miR-23a	5.18e-10	1.02e-05	positive	ZNF292	23036
hsa-miR-23a	5.18e-10	5.01e-05	positive	PTP4A2	8073
hsa-miR-23a	5.18e-10	5.05e-05	positive	MIER1	57708
hsa-miR-23a	5.18e-10	0.000932	positive	PDGFA	5154
hsa-miR-23a	5.18e-10	0.00103	positive	EPS15	2060
hsa-miR-23a	5.18e-10	0.00129	positive	SEMA6D	80031
hsa-miR-23a	5.18e-10	0.00265	positive	PPP2R5E	5529
hsa-miR-23a	5.18e-10	0.00351	positive	CAPN6	827
hsa-miR-23a	5.18e-10	0.00443	positive	TIA1	7072
hsa-miR-494	6e-10	1.44e-07	negative	MGA	23269
hsa-miR-494	6e-10	4.57e-07	negative	SLC38A2	54407
hsa-miR-494	6e-10	3.1e-06	negative	ZC3H7A	29066
hsa-miR-494	6e-10	4.24e-06	negative	RBM4B	83759
hsa-miR-494	6e-10	2.29e-05	negative	ARID4B	51742
hsa-miR-494	6e-10	0.00133	negative	ING3	54556
hsa-miR-494	6e-10	0.00187	negative	HHIP	64399
hsa-miR-494	6e-10	0.00236	negative	HS2ST1	9653
hsa-miR-494	6e-10	7.78e-08	positive	SLC26A3	1811
hsa-miR-494	6e-10	1.77e-07	positive	CAMK1	8536
hsa-miR-494	6e-10	8.87e-06	positive	HTRA3	94031
hsa-miR-494	6e-10	0.000577	positive	JUND	3727
hsa-miR-494	6e-10	0.00427	positive	IGSF1	3547
hsa-miR-32	7.32e-10	6.83e-15	negative	DKK3	27122
hsa-miR-32	7.32e-10	8.99e-12	negative	PEAK1	79834
hsa-miR-32	7.32e-10	2.27e-11	negative	ARHGEF17	9828
hsa-miR-32	7.32e-10	2.86e-11	negative	ACTC1	70
hsa-miR-32	7.32e-10	4.3e-07	negative	NPTN	27020
hsa-miR-32	7.32e-10	4.79e-07	negative	COL1A2	1278
hsa-miR-32	7.32e-10	1.26e-05	negative	SMAD7	4092
hsa-miR-32	7.32e-10	4.68e-05	negative	DUSP5	1847
hsa-miR-32	7.32e-10	5e-05	negative	SLC9A1	6548
hsa-miR-32	7.32e-10	6.33e-05	negative	USP44	84101
hsa-miR-32	7.32e-10	0.000449	negative	SMAD6	4091
hsa-miR-32	7.32e-10	0.000618	negative	MPP1	4354
hsa-miR-32	7.32e-10	4.74e-07	positive	MIA3	375056
hsa-miR-32	7.32e-10	2.8e-05	positive	SESN3	143686
hsa-miR-32	7.32e-10	0.000347	positive	IBTK	25998
hsa-miR-32	7.32e-10	0.000355	positive	C2orf69	205327
hsa-miR-32	7.32e-10	0.000717	positive	EDEM1	9695
hsa-miR-199a-5p	8.65e-10	1.65e-13	positive	SULF1	23213
hsa-miR-18b	1.18e-09	6.35e-07	negative	LMO4	8543
hsa-miR-18b	1.18e-09	6.62e-07	negative	MYLK	4638
hsa-miR-18b	1.18e-09	0.00154	negative	MAP7D1	55700
hsa-miR-18b	1.18e-09	0.00109	positive	TBPL1	9519
hsa-miR-18b	1.18e-09	0.00114	positive	FRS2	10818
hsa-miR-18b	1.18e-09	0.00237	positive	ELOVL1	64834
hsa-miR-16	1.24e-09	1.39e-07	negative	CCNE1	898
hsa-miR-16	1.24e-09	1.26e-06	negative	DLL4	54567
hsa-miR-16	1.24e-09	1.01e-05	negative	CARD10	29775
hsa-miR-16	1.24e-09	3.59e-05	negative	HTR4	3360
hsa-miR-16	1.24e-09	4.41e-05	negative	ADAMTS18	170692
hsa-miR-16	1.24e-09	4.95e-05	negative	G0S2	50486
hsa-miR-16	1.24e-09	5.86e-05	negative	CHRNE	1145
hsa-miR-16	1.24e-09	8.34e-05	negative	C17orf59	54785
hsa-miR-16	1.24e-09	8.92e-05	negative	HOXC11	3227
hsa-miR-16	1.24e-09	0.000221	negative	SH3GL2	6456
hsa-miR-16	1.24e-09	0.000427	negative	CCNJL	79616
hsa-miR-16	1.24e-09	0.000769	negative	OMG	4974
hsa-miR-16	1.24e-09	0.00251	negative	NCOR2	9612
hsa-miR-16	1.24e-09	0.0032	negative	TFAP4	7023
hsa-miR-16	1.24e-09	0.00655	negative	AP2A1	160
hsa-miR-16	1.24e-09	2.62e-12	positive	SON	6651
hsa-miR-16	1.24e-09	1.84e-11	positive	CCNT2	905
hsa-miR-16	1.24e-09	2.46e-11	positive	COPS2	9318
hsa-miR-16	1.24e-09	3.39e-09	positive	POLR3F	10621
hsa-miR-16	1.24e-09	2.16e-08	positive	STXBP3	6814
hsa-miR-16	1.24e-09	4.76e-08	positive	HELZ	9931
hsa-miR-16	1.24e-09	5.68e-08	positive	CUL2	8453
hsa-miR-16	1.24e-09	7.42e-08	positive	PSMD7	5713
hsa-miR-16	1.24e-09	7.97e-08	positive	RFWD2	64326
hsa-miR-16	1.24e-09	8.85e-08	positive	WAPAL	23063
hsa-miR-16	1.24e-09	1.96e-07	positive	GALNT1	2589
hsa-miR-16	1.24e-09	2.69e-07	positive	RSBN1	54665
hsa-miR-16	1.24e-09	5.22e-07	positive	YWHAQ	10971
hsa-miR-16	1.24e-09	9.32e-07	positive	PHIP	55023
hsa-miR-16	1.24e-09	2.2e-06	positive	FNTA	2339
hsa-miR-16	1.24e-09	4.03e-06	positive	ACVR2A	92
hsa-miR-16	1.24e-09	1.22e-05	positive	SIAH1	6477
hsa-miR-16	1.24e-09	1.51e-05	positive	SERBP1	26135
hsa-miR-16	1.24e-09	2.77e-05	positive	PPAP2A	8611
hsa-miR-16	1.24e-09	9.7e-05	positive	LRP6	4040
hsa-miR-16	1.24e-09	0.000138	positive	NBR1	4077
hsa-miR-16	1.24e-09	0.000185	positive	SESN1	27244
hsa-miR-16	1.24e-09	0.000229	positive	RASGEF1B	153020
hsa-miR-16	1.24e-09	0.000368	positive	STRADB	55437
hsa-miR-16	1.24e-09	0.000373	positive	WEE1	7465
